TransactionID,id_15,id_23,id_30,id_31,id_33,DeviceType,DeviceInfo
3004524,New,,,chrome 62.0,,desktop,Windows
3001393,New,,Windows 7,chrome 62.0,1920x1080,desktop,Windows
3004655,New,,,firefox 57.0,,desktop,Windows
3008420,New,,Windows 10,edge 14.0,1920x1080,desktop,Windows
3005017,Found,,,chrome 62.0,,desktop,Windows
3005052,Found,,,chrome 62.0 for android,,mobile,7055A Build/KVT49L
3005111,New,,,chrome 62.0,,desktop,Windows
3005174,,,,,,,
3005194,New,,,chrome 62.0,,desktop,Windows
3005260,Found,,Mac OS X 10_12_3,chrome 62.0,1440x900,desktop,MacOS
3001887,Found,,Windows 10,edge 15.0,1600x900,desktop,Windows
3005450,Found,,,chrome 62.0,,desktop,
3005483,Found,,,chrome 62.0,,desktop,
3005514,Found,,,chrome 62.0,,desktop,
3005533,Unknown,,,mobile safari 10.0,,mobile,
3005612,Found,,,chrome 62.0,,desktop,Windows
3005614,New,,,chrome 62.0,,desktop,Windows
3005721,Unknown,,,mobile safari generic,,mobile,
3016362,New,,,chrome 62.0,,desktop,
3000008,Found,,,chrome 62.0,,desktop,Windows
3000016,New,,,android webview 4.0,,mobile,Moto G (5) Plus Build/NPN25.137-72
3005863,New,,Windows 10,chrome 62.0,1920x1080,desktop,Windows
3000057,Found,,,chrome generic,,mobile,Moto G (5) Build/NPP25.137-72
3000061,Found,,,chrome 62.0,,desktop,Windows
3000078,Unknown,,,mobile safari generic,,mobile,
3000079,Unknown,,,mobile safari 10.0,,mobile,
3000093,Unknown,,,mobile safari 11.0,,mobile,
3000113,Unknown,,,mobile safari generic,,mobile,
3006150,New,,iOS 11.1.0,mobile safari 11.0,2048x1536,mobile,iOS Device
3000127,New,,,chrome 62.0,,desktop,Windows
3000123,New,,,chrome 46.0 for android,,mobile,ALE-L23 Build/HuaweiALE-L23
3000164,New,,,chrome 62.0,,desktop,Windows
3000172,New,,,chrome 62.0 for android,,mobile,LG-K580 Build/MRA58K
3000190,New,,,chrome generic,,mobile,Moto G (4) Build/NPJ25.93-14.5
3000197,Found,,,chrome 62.0 for android,,mobile,SM-T710 Build/NRD90M
3000204,New,,,chrome generic,,mobile,SAMSUNG
3000217,New,,,chrome 62.0,,desktop,Windows
3000232,New,,,chrome 61.0,,desktop,Windows
3000242,Found,,,chrome 61.0,,desktop,Windows
3000274,Unknown,,,mobile safari 11.0,,mobile,
3006526,New,,iOS 11.0.1,mobile safari 11.0,2732x2048,mobile,iOS Device
3000280,Unknown,,,mobile safari 11.0,,mobile,
3000305,New,,,chrome 62.0,,desktop,
3000314,New,,,chrome 62.0 for android,,mobile,Blade V6 Build/LRX22G
3000321,Unknown,,,mobile safari 11.0,,mobile,
3000322,New,,,samsung browser 6.2,,mobile,SAMSUNG SM-J700M Build/MMB29K
3000381,New,,,chrome 62.0 for android,,mobile,SM-G531H Build/LMY48B
3000519,New,,,chrome 62.0 for android,,mobile,Moto C Build/NRD90M.063
3003301,New,,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
3000736,Found,,,chrome 62.0,,desktop,Windows
3003547,Found,,Windows 7,chrome 62.0,1366x768,desktop,Windows
3000805,New,,,chrome 62.0,,desktop,Windows
3000815,Found,,,chrome 62.0,,desktop,Windows
3000932,Found,,,chrome 60.0 for android,,mobile,LG-D693n Build/LRX22G
3000960,Found,,,chrome 62.0 for android,,mobile,HUAWEI RIO-L03 Build/HUAWEIRIO-L03
3000945,New,,,chrome 62.0,,desktop,Windows
3001102,New,,,chrome 62.0,,desktop,
3004104,New,,,chrome 49.0,,desktop,
3007932,New,,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
3001307,New,,,chrome 62.0,,desktop,
3001433,New,,,chrome 62.0,,desktop,Windows
3001386,New,,,chrome 62.0,,desktop,Windows
3004660,Found,,Android 6.0.1,samsung browser 6.2,2560x1440,mobile,SAMSUNG SM-N910A Build/MMB29M
3001522,New,,,firefox 57.0,,desktop,Windows
3001546,New,,,chrome 62.0,,desktop,Windows
3001528,Found,,,chrome 62.0,,desktop,Windows
3001672,Unknown,,,mobile safari 11.0,,mobile,
3004972,New,,iOS 11.2.0,mobile safari 11.0,1334x750,mobile,iOS Device
3001667,New,,,chrome 60.0 for android,,mobile,LG-D331 Build/LRX22G
3001651,Unknown,,,mobile safari 11.0,,mobile,
3001689,New,,,chrome 62.0,,desktop,Windows
3005214,New,,Windows 8,chrome 62.0,,desktop,Windows
3001712,New,,,chrome 62.0,,desktop,
3001820,New,,,ie 11.0 for desktop,,desktop,Trident/7.0
3001879,Found,,,chrome 62.0,,desktop,
3001973,Unknown,,,mobile safari 11.0,,mobile,
3002087,New,,,mobile safari generic,,mobile,
3002140,New,,,chrome 59.0 for android,,mobile,LG-H500 Build/LRX21Y
3002234,Found,,,firefox 57.0,,desktop,
3002493,New,,,chrome 62.0,,desktop,Windows
3002532,Found,,,chrome 62.0,,desktop,
3002697,Found,,,chrome 62.0,,desktop,Windows
3002704,,,,,,,
3020881,New,IP_PROXY:TRANSPARENT,iOS 11.1.1,mobile safari 11.0,1334x750,mobile,iOS Device
3020895,Found,IP_PROXY:TRANSPARENT,iOS 11.1.1,mobile safari 11.0,1334x750,mobile,iOS Device
3002741,Found,IP_PROXY:TRANSPARENT,iOS 11.1.1,mobile safari 11.0,1334x750,mobile,iOS Device
3002831,Unknown,,,safari generic,,desktop,
3002885,New,,,chrome 62.0,,desktop,Windows
3002901,Found,,,chrome 62.0,,desktop,Windows
3002876,Found,,,chrome 62.0,,desktop,Windows
3002887,Found,,,chrome 62.0,,desktop,Windows
3002916,New,,,chrome 62.0 for android,,mobile,SM-G531H Build/LMY48B
3002928,Found,,,chrome 62.0,,desktop,Windows
3003439,New,,,chrome 62.0,,desktop,Windows
3003623,New,,,Samsung/SM-G532M,,mobile,SM-G532M Build/MMB29T
3003820,Found,,,chrome 62.0,,desktop,Windows
3003968,New,,,chrome 62.0 for android,,mobile,SM-J510MN Build/MMB29M
3022086,Found,,Windows 10,chrome 62.0,1600x900,desktop,Windows
3004050,Found,,,chrome 62.0,,desktop,Windows
3004047,Found,,,chrome 62.0,,desktop,Windows
3022263,New,,,chrome 62.0 for android,,mobile,SM-G530H Build/LRX22G
3004451,Found,,,samsung browser 6.2,,mobile,SAMSUNG SM-T810 Build/NRD90M
3015139,,,,,,,
3004588,New,,,chrome 60.0 for android,,mobile,GT-I9060M Build/KTU84P
3004683,New,,,chrome 62.0 for android,,mobile,ALE-L23 Build/HuaweiALE-L23
3004842,New,,,chrome 62.0 for android,,mobile,SM-J200M Build/LMY47X
3005005,Unknown,,,chrome 62.0,,desktop,Windows
3005024,Found,,,chrome 62.0 for android,,mobile,BLADE V8 SE Build/NRD90M
3005123,Unknown,,,chrome 62.0,,desktop,Windows
3005145,Unknown,,,chrome 62.0,,desktop,Windows
3005101,Unknown,,,chrome 62.0,,desktop,Windows
3001718,New,,iOS 11.1.2,mobile safari generic,1334x750,mobile,iOS Device
3005147,New,,,chrome 62.0,,desktop,Windows
3008720,New,,Windows 10,edge 15.0,1366x768,desktop,Windows
3005291,,,,,,,
3005312,Unknown,,,mobile safari 11.0,,mobile,
3005518,Found,,,chrome 62.0 for android,,mobile,SM-J700M Build/MMB29K
3005562,Found,,,chrome 62.0 for android,,mobile,SM-J700M Build/MMB29K
3005520,Found,,,chrome 62.0 for android,,mobile,SM-J700M Build/MMB29K
3005530,New,,,chrome 60.0 for android,,mobile,HTC Desire 650 Build/MMB29M
3005506,Found,,,chrome 62.0,,desktop,
3005598,Found,,,chrome 62.0,,desktop,Windows
3005909,Found,,,chrome 61.0 for android,,mobile,SM-J120H Build/LMY47V
3005971,New,,,chrome generic,,mobile,Moto G (5) Build/NPP25.137-72
3006033,Unknown,,,mobile safari 11.0,,mobile,
3009444,New,,Mac OS X 10_12_4,safari generic,3360x2100,desktop,MacOS
3006080,New,,,edge 16.0,,desktop,Windows
3006257,Found,,,chrome 62.0,,desktop,Windows
3006256,New,,,chrome 62.0,,desktop,Windows
3006222,Found,,,chrome 62.0,,desktop,Windows
3006277,Found,,,chrome 62.0,,desktop,Windows
3006290,New,,,firefox 57.0,,desktop,rv:57.0
3006316,New,,,chrome generic,,mobile,Moto G (5) Plus Build/NPNS25.137-15-11
3006418,Found,,,chrome 62.0,,desktop,Windows
3009973,New,,Windows 10,chrome 62.0,1366x768,desktop,Windows
3009947,New,,Windows 10,chrome 62.0,1366x768,desktop,Windows
3006552,New,,,chrome 62.0,,desktop,Windows
3006597,New,,,chrome 62.0,,desktop,Windows
3006617,New,,,chrome 62.0,,desktop,Windows
3006650,Found,,,chrome 62.0,,desktop,Windows
3010090,New,,Android,chrome 61.0,1366x768,mobile,
3006647,Found,,,chrome 62.0 for android,,mobile,SM-J320M Build/LMY47V
3006667,Found,,,chrome 62.0 for android,,mobile,SM-G930U Build/NRD90M
3006694,Found,,,chrome 62.0 for android,,mobile,CAM-L03 Build/HUAWEICAM-L03
3025135,New,,Windows 10,chrome 62.0,1920x1080,desktop,Windows
3013990,Found,,Mac OS X 10_10_5,safari generic,1280x800,desktop,MacOS
3014038,Found,,Mac OS X 10_10_5,safari generic,1280x800,desktop,MacOS
3007137,Found,,,chrome 62.0,,desktop,Windows
3008215,New,,,chrome 60.0 for android,,mobile,Ilium LT500 Build/LMY47O
3011729,New,,Windows 7,chrome 62.0,1680x1050,desktop,Windows
3008585,,,,,,,
3008594,New,,,chrome 62.0,,desktop,Windows
3008662,Unknown,,,mobile safari generic,,mobile,
3008727,New,,,chrome 62.0,,desktop,Windows
3008715,Unknown,,,mobile safari 11.0,,mobile,
3008911,New,,,chrome 62.0,,desktop,Windows
3009117,Unknown,,,mobile safari 11.0,,mobile,
3012511,Found,,Mac OS X 10_11_6,chrome 62.0,1440x900,desktop,MacOS
3012613,New,,Windows 10,chrome 62.0,1920x1080,desktop,Windows
3009364,Found,,,safari generic,,desktop,
3009396,Found,,,chrome 62.0,,desktop,Windows
3009374,Found,,,opera 49.0,,desktop,
3009505,Found,,,chrome 62.0,,desktop,Windows
3009511,Found,,,chrome 62.0,,desktop,Windows
3009508,Unknown,,,chrome 62.0,,desktop,Windows
3006031,New,,Windows 10,chrome 62.0,1600x900,desktop,Windows
3006117,Found,,Mac OS X 10_12_6,chrome 62.0,1440x900,desktop,MacOS
3009631,Found,,,edge 15.0,,desktop,Windows
3009652,Found,,,chrome 62.0,,desktop,
3009590,Found,,,chrome 62.0,,desktop,
3009644,Found,,,chrome 62.0,,desktop,
3009728,Found,,,chrome 62.0,,desktop,
3009705,Found,,,chrome 62.0,,desktop,
3009714,Found,,,chrome 62.0,,desktop,
3009755,New,,,chrome 62.0,,desktop,Windows
3009787,New,,,chrome 62.0,,desktop,Windows
3009764,New,,,chrome 62.0,,desktop,Windows
3009810,Found,,,chrome 62.0,,desktop,
3009847,New,,,chrome 62.0,,desktop,Windows
3009803,New,,,chrome 62.0,,desktop,Windows
3009868,New,,,chrome generic,,mobile,Moto G (5) Build/NPP25.137-72
3009828,New,,,chrome 62.0 for android,,mobile,SM-A720F Build/MMB29K
3006493,Found,,Mac OS X 10_11_6,safari generic,1440x900,desktop,MacOS
3010026,New,,,chrome 62.0 for android,,mobile,SM-G935F Build/NRD90M
3010052,Unknown,,,mobile safari 11.0,,mobile,
3010072,New,,,chrome 62.0,,desktop,
3010107,New,,,chrome 62.0,,desktop,Windows
3006928,,,,,,,
3006942,Found,,Windows 10,edge 15.0,,desktop,Windows
3017846,New,,Windows 7,ie 11.0 for desktop,1920x1080,desktop,Trident/7.0
3014011,New,,iOS 11.2.0,mobile safari 11.0,2208x1242,mobile,iOS Device
3017822,New,,Windows 10,chrome 62.0,1280x1024,desktop,Windows
3010585,New,,,chrome 61.0,,desktop,
3010598,Found,,,chrome 62.0,,desktop,
3010620,Found,,,chrome 62.0,,desktop,
3010666,New,,,chrome 62.0,,desktop,Windows
3010646,Unknown,,,mobile safari 11.0,,mobile,
3010767,New,,,chrome 62.0,,desktop,
3010786,New,,,chrome 62.0,,desktop,
3010733,New,,,chrome 62.0 for android,,mobile,MotoG3 Build/MPIS24.65-33.1-2-16
3011042,New,,,chrome 62.0,,desktop,
3011289,New,,,chrome 62.0,,desktop,
3011408,Unknown,,,mobile safari 10.0,,mobile,
3008138,Found,,Windows 10,chrome 62.0,1366x768,desktop,Windows
3011731,Found,,,chrome 49.0,,desktop,
3011881,Found,,,chrome 62.0,,desktop,Windows
3012114,Found,,,chrome 62.0,,desktop,Windows
3012151,New,,,chrome 62.0,,desktop,Windows
3012249,Found,,,chrome 62.0,,desktop,Windows
3012379,Found,,,chrome 62.0 for android,,mobile,D5803 Build/23.5.A.1.291
3012459,Found,,,chrome 59.0 for android,,mobile,GT-I8190L Build/JZO54K
3012518,New,,,chrome 62.0,,desktop,Windows
3012591,Found,,,chrome 62.0,,desktop,
3016473,New,,Windows 10,chrome 62.0,1600x900,desktop,Windows
3016545,New,,Android 6.0.1,chrome 62.0 for android,1920x1080,mobile,Z981 Build/MMB29M
3012788,Unknown,,,mobile safari 11.0,,mobile,
3012792,Found,,,chrome 62.0 for android,,mobile,SM-G900V
3012840,Unknown,,,firefox 57.0,,desktop,Windows
3012791,Found,,,chrome 62.0 for android,,mobile,ZEIA8
3020418,Found,,Android 7.0,chrome 62.0 for android,,mobile,SM-N920P Build/NRD90M
3012922,Found,,,chrome 62.0 for android,,mobile,ZEIA8
3012958,New,,,chrome 62.0,,desktop,Windows
3020489,New,,iOS 11.0.3,mobile safari 11.0,2208x1242,mobile,iOS Device
3013206,Unknown,,,mobile safari 11.0,,mobile,
3013246,Found,,,chrome 62.0 for android,,mobile,MotoG3 Build/MPIS24.65-33.1-2-16
3013324,New,,,chrome 62.0 for android,,mobile,SM-N910H
3013337,Found,,,chrome 62.0,,desktop,Windows
3032354,Found,,,chrome 62.0,,desktop,Windows
3032384,Found,,iOS 11.1.2,mobile safari generic,2208x1242,mobile,iOS Device
3032361,Found,,iOS 11.1.2,mobile safari generic,2208x1242,mobile,iOS Device
3013500,Unknown,,,mobile safari 11.0,,mobile,
3013543,New,,,chrome 62.0 for android,,mobile,ALE-L23 Build/HuaweiALE-L23
3013672,New,,,chrome 62.0 for android,,mobile,SM-G531H Build/LMY48B
3017461,Found,,Windows 10,chrome 62.0,1600x900,desktop,Windows
3017466,New,,iOS 9.3.5,mobile safari 9.0,1024x768,mobile,iOS Device
3013944,New,,,chrome 62.0,,desktop,
3014269,New,,,chrome 62.0,,desktop,Windows
3014260,Found,,,chrome 62.0,,desktop,Windows
3014568,New,,,chrome 62.0,,desktop,Windows
3018405,Found,IP_PROXY:ANONYMOUS,Windows 7,ie 11.0 for desktop,1920x1080,desktop,Trident/7.0
3014903,Found,,,chrome 62.0 for android,,mobile,HTC U11 Build/NMF26X
3018610,New,,iOS 10.3.3,mobile safari 10.0,1334x750,mobile,iOS Device
3022602,Found,,Windows 10,chrome 62.0,1920x1080,desktop,Windows
3015247,Found,,,chrome 62.0 for android,,mobile,SM-J510MN Build/MMB29M
3015373,Unknown,,,mobile safari 10.0,,mobile,
3015420,New,,,mobile safari generic,,mobile,
3015505,Unknown,,,mobile safari 11.0,,mobile,
3011702,New,,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
3015456,Unknown,,,mobile safari 11.0,,mobile,
3015589,New,,,chrome 61.0,,desktop,
3015519,New,,,edge 14.0,,desktop,Windows
3022978,Found,,Windows 10,chrome 62.0,1920x1080,desktop,Windows
3015644,New,,,firefox,,desktop,rv:57.0
3015721,Found,,,chrome 62.0 for android,,mobile,Ilium L910 Build/MRA58K
3015764,New,,,chrome 62.0,,desktop,Windows
3016097,Found,,,chrome 62.0,,desktop,
3015995,Unknown,,,safari generic,,desktop,
3016018,New,,,chrome 62.0,,desktop,
3016152,New,,,chrome 62.0,,desktop,Windows
3016259,New,,,chrome 62.0 for android,,mobile,SM-A510M Build/NRD90M
3023906,New,,Windows 10,chrome 62.0,1920x1080,desktop,Windows
3020123,New,,iOS 11.1.2,mobile safari generic,1334x750,mobile,iOS Device
3016578,New,,,chrome 62.0,,desktop,
3016606,New,,,chrome 62.0,,desktop,Windows
3016630,Unknown,,,mobile safari 10.0,,mobile,
3016654,New,,,chrome 62.0,,desktop,Windows
3016738,New,,,chrome 61.0,,desktop,Windows
3016795,New,,,chrome 62.0,,desktop,
3016813,New,,,chrome 62.0,,desktop,
3016829,Unknown,,,safari generic,,desktop,
3016798,Found,,,chrome 58.0,,desktop,
3016818,New,,,chrome 54.0 for android,,mobile,LG-H542 Build/MRA58K
3016937,Found,,,chrome 63.0,,desktop,Windows
3017169,New,,,chrome 62.0 for android,,mobile,SM-J700M Build/MMB29K
3017194,Found,,,safari generic,,desktop,
3017254,Found,,,chrome 62.0,,desktop,Windows
3017252,Unknown,,,mobile safari 11.0,,mobile,
3017329,Unknown,,,mobile safari 11.0,,mobile,
3024998,Found,IP_PROXY:TRANSPARENT,Mac OS X 10_9_5,chrome 61.0,1920x1200,desktop,MacOS
3021349,Found,,Windows 10,chrome 62.0,1280x768,desktop,Windows
3029127,New,,iOS 9.3.5,mobile safari 9.0,1024x768,mobile,iOS Device
3017870,Found,,,chrome 62.0,,desktop,Windows
3017897,Found,IP_PROXY:TRANSPARENT,Windows 7,chrome 62.0,1920x1080,desktop,Windows
3017904,New,,,chrome 62.0 for android,,mobile,SM-A520F Build/NRD90M
3021788,Found,,Windows 10,ie 11.0 for desktop,1366x768,desktop,Trident/7.0
3018245,Unknown,,,mobile safari 11.0,,mobile,
3018271,New,,,chrome 62.0 for android,,mobile,SM-J320M Build/LMY47V
3018260,Found,,,chrome 62.0,,desktop,
3018319,New,,,ie 11.0 for desktop,,desktop,Trident/7.0
3018572,Found,,,chrome 62.0,,desktop,Windows
3018504,Found,,,chrome 62.0,,desktop,
3022316,Found,,iOS 11.0.1,mobile safari 11.0,2208x1242,mobile,iOS Device
3022258,New,,iOS 10.2.1,mobile safari 10.0,1136x640,mobile,iOS Device
3022314,Found,,iOS 10.2.1,mobile safari 10.0,1136x640,mobile,iOS Device
3018657,Found,,,chrome 62.0,,desktop,Windows
3022338,Found,,iOS 10.2.1,mobile safari 10.0,1136x640,mobile,iOS Device
3018594,New,,,ie 11.0 for desktop,,desktop,Trident/7.0
3018665,New,,,chrome 62.0,,desktop,
3018737,Unknown,,,mobile safari 11.0,,mobile,
3018790,Found,,,chrome 49.0,,desktop,
3018765,Found,,,chrome 62.0,,desktop,Windows
3018985,Found,,,chrome 62.0,,desktop,Windows
3019161,New,,,chrome 62.0,,desktop,Windows
3019260,Unknown,,,mobile safari 11.0,,mobile,
3023417,Found,,Windows 10,chrome 62.0,1366x768,desktop,Windows
3023539,Found,,Windows 8.1,chrome 62.0,1366x768,desktop,Windows
3020058,New,,,firefox,,desktop,
3020158,Unknown,,,mobile safari 11.0,,mobile,
3020286,Found,,,ie 11.0 for desktop,,desktop,Trident/7.0
3020446,Found,,,chrome 62.0 for android,,mobile,SM-G930U Build/NRD90M
3020468,Found,,,chrome 62.0 for android,,mobile,SM-G930U Build/NRD90M
3024168,New,,iOS 11.1.1,mobile safari 11.0,1334x750,mobile,iOS Device
3020394,,,,,,,
3020594,Found,,,firefox 57.0,,desktop,Windows
3020642,New,,,chrome 62.0,,desktop,Windows
3020620,Unknown,,,mobile safari 11.0,,mobile,
3020671,Found,,,chrome 63.0,,desktop,
3020699,Unknown,,,mobile safari 11.0,,mobile,
3024527,New,,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
3032208,New,,,chrome 62.0 for android,,mobile,SM-J510FN
3024598,New,,iOS 11.1.2,mobile safari 11.0,1334x750,mobile,iOS Device
3020864,Unknown,,,mobile safari 11.0,,mobile,
3020820,New,,,chrome 63.0,,desktop,Windows
3020888,New,,,chrome 62.0,,desktop,
3020878,New,,,chrome 62.0,,desktop,
3028542,New,,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
3020898,New,,,chrome 62.0,,desktop,Windows
3036242,New,,Windows 7,ie 11.0 for desktop,1920x1080,desktop,Trident/7.0
3020991,New,,,mobile safari 10.0,,mobile,
3021041,New,,,chrome 62.0 for android,,mobile,Lenovo
3021075,Found,,,chrome 62.0,,desktop,Windows
3021090,Found,,,chrome 62.0,,desktop,Windows
3021109,Found,,,chrome 62.0,,desktop,
3021127,Unknown,,,mobile safari 11.0,,mobile,
3021190,New,,,chrome 63.0,,desktop,
3021507,Unknown,,,firefox 57.0,,desktop,
3021621,New,,,chrome 62.0,,desktop,
3021737,New,,,chrome 55.0 for android,,mobile,M4 SS4450 Build/MRA58K
3021821,New,,,chrome 62.0,,desktop,Windows
3021855,Found,,,chrome 62.0,,desktop,
3029551,New,,Windows 10,edge 16.0,1920x1080,desktop,Windows
3022043,Found,,,chrome 62.0,,desktop,Windows
3021953,New,,,chrome 58.0 for android,,mobile,LG-M700 Build/NMF26X
3025771,New,,Windows 10,chrome 62.0,1366x768,desktop,Windows
3041580,Unknown,,,mobile safari generic,,mobile,
3022106,New,,,chrome 62.0,,desktop,Windows
3022041,New,,,chrome 61.0 for android,,mobile,5054N
3022152,Unknown,,,mobile safari 11.0,,mobile,
3018410,,,,,,,
3029732,New,,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile,iOS Device
3022270,Unknown,,,chrome 62.0,,desktop,Windows
3022324,Found,,,chrome 61.0,,desktop,Windows
3022259,Found,,,chrome 62.0,,desktop,
3022375,New,,,chrome 62.0 for android,,mobile,F3213 Build/36.1.A.1.86
3018598,,,,,,,
3022349,Found,,,chrome 61.0,,desktop,Windows
3022445,Found,,,chrome 60.0 for android,,mobile,CAM-L03 Build/HUAWEICAM-L03
3022402,,,,,,,
3022456,New,,,chrome 62.0,,desktop,Windows
3022545,Found,,,chrome 63.0,,desktop,
3022731,Found,,,edge 16.0,,desktop,Windows
3022623,Found,,,mobile safari 10.0,,mobile,
3022777,New,,Windows 8.1,chrome 62.0,1600x900,desktop,Windows
3022704,Found,,Windows 8.1,chrome 62.0,1600x900,desktop,Windows
3030290,Found,,Windows 10,firefox 57.0,1600x900,desktop,Windows
3022865,New,,,chrome 49.0,,desktop,
3026787,Found,,Windows 7,firefox 52.0,1920x1080,desktop,rv:52.0
3034459,New,,iOS 9.3.5,mobile safari 9.0,1024x768,mobile,iOS Device
3022953,Found,,,chrome 62.0 for android,,mobile,ALE-L23 Build/HuaweiALE-L23
3042672,New,,,chrome 62.0 for android,,mobile,SM-P350 Build/MMB29M
3023206,Found,,,chrome 50.0 for android,,mobile,HUAWEI CUN-L03 Build/HUAWEICUN-L03
3030697,New,,Windows 10,edge 15.0,1680x1050,desktop,Windows
3023270,New,,,chrome 62.0,,desktop,Windows
3023219,Found,,,firefox 57.0,,desktop,Windows
3030837,New,,Windows 7,ie 11.0 for desktop,1440x900,desktop,MDDRJS
3023323,New,,,chrome 63.0,,desktop,
3023384,Found,,,chrome 62.0,,desktop,Windows
3023401,New,,,chrome 62.0,,desktop,
3023469,Found,,,chrome 62.0,,desktop,Windows
3023492,New,,,chrome 62.0,,desktop,
3023541,New,,,chrome 62.0,,desktop,
3023536,New,,,chrome 62.0 for android,,mobile,LG-H650 Build/MRA58K
3023622,Found,,,chrome 62.0,,desktop,Windows
3023593,Found,,,chrome 62.0,,desktop,Windows
3023668,New,,,chrome 62.0,,desktop,Windows
3023611,New,,,mobile safari 11.0,,mobile,
3023687,New,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
3023706,New,,,chrome 62.0 for android,,mobile,LG-K220 Build/MXB48T
3023734,New,,,opera 49.0,,desktop,
3023780,Found,,,chrome 62.0 for android,,mobile,LG-K220 Build/MXB48T
3023804,Found,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
3023845,Found,,,edge 15.0,,desktop,
3023763,New,,,chrome 63.0,,desktop,
3023794,Found,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
3023767,Found,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
3023787,Found,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
3023836,Found,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
3023826,Found,,,chrome 62.0 for android,,mobile,SAMSUNG-SGH-I337 Build/KOT49H
